18 10
720	720	820	1120	1310	1310	0	0	0	0
720	720	820	1120	1310	1310	0	0	0	0
660	720	785	1215	1310	1310	0	0	0	0
410	680	720	785	785	1310	1310	0	0	0
660	680	730	1310	1310	1310	0	0	0	0
635	720	720	785	785	785	785	785	0	0
635	635	635	785	785	1215	1310	0	0	0
590	730	1030	1030	1310	1310	0	0	0	0
590	600	730	730	730	1310	1310	0	0	0
590	590	660	720	820	1310	1310	0	0	0
590	590	785	785	820	1120	1310	0	0	0
590	590	635	680	680	730	785	1310	0	0
590	730	1030	1030	1310	1310	0	0	0	0
590	600	730	730	730	1310	1310	0	0	0
590	590	590	730	730	730	730	1310	0	0
590	590	590	635	680	785	820	1310	0	0
590	590	590	590	590	590	590	600	635	635
590	660	820	1310	1310	1310	0	0	0	0
